Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Telefax,Número de camas instaladas,Dependencia Patrimonial,Dependencia Funcional,Finalidad Asistencial,Observaciones,Concierto,Acreditación Docente,lat,lon
380282,HOSPITAL QUIRÓN COSTA ADEJE,CANARIAS,SANTA CRUZ DE TENERIFE,Adeje,URBANIZACIÓN SAN EUGENIO,38660,922752626.0,922796570.0,62.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,NO,NO,28.07443035,-16.72977275555476
260110,CENTRO ASISTENCIAL DE ALBELDA DE IREGUA,LA RIOJA,LA RIOJA,Albelda de Iregua,CRTA. SORIA KM. 8,26120,941279220.0,941279209.0,140.0,COMUNIDAD AUTÓNOMA,SERVICIO RIOJANO DE SALUD,PSIQUIÁTRICO,,NO,NO,,
120160,SERVICIOS SANITARIOS DEL CENTRO PENITENCIARIO DE CASTELLÓN II (ALBOCÀSSER),COMUNIDAD VALENCIANA,CASTELLÓN,Albocàsser,"CALLE ELS MASCARRELLS, S/N",12140,964158500.0,964158536.0,64.0,MINISTERIO DE INTERIOR,ADMINISTRACIÓN PENITENCIARIA,OTRA FINALIDAD,,NO,NO,,
410227,HOSPITAL EL TOMILLAR,ANDALUCÍA,SEVILLA,Alcalá de Guadaíra,"CTRA. ALCALÁ-DOS HERMANAS, KM. 6",41500,955016000.0,955016032.0,0.0,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,NO,37.29821355,-5.9008417110545235
280745,HOSPITAL UNIVERSITARIO PRÍNCIPE DE ASTURIAS,MADRID,MADRID,Alcalá de Henares,"CTRA. ALCALÁ-MECO, S/N",28805,918878100.0,918801825.0,507.0,SEGURIDAD SOCIAL,SERVICIO MADRILEÑO DE SALUD,GENERAL,,NO,SI,40.51012885,-3.347488080533651
281371,HM VALLES,MADRID,MADRID,Alcalá de Henares,"C/SANTIAGO, 14",28801,917374353.0,912805932.0,20.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,OTRA FINALIDAD,,SI,SI,,
230184,HOSPITAL DE ALTA RESOLUCIÓN DE ALCALÁ LA REAL,ANDALUCÍA,JAÉN,Alcalá la Real,"AVDA. IBEROAMÉRICA, S/N",23680,953599008.0,953599058.0,28.0,COMUNIDAD AUTÓNOMA,COMUNIDAD AUTÓNOMA,GENERAL,,NO,NO,37.4542646,-3.9314382856966112
300119,"CLÍNICA MÉDICO-QUIRÚRGICA SAN JOSÉ, S.A.",REGIÓN DE MURCIA,MURCIA,Alcantarilla,"MAESTRA LOLA MESEGUER, S/N",30820,968800600.0,968800347.0,139.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,MÉDICO-QUIRÚRGICO,,SI,NO,,
440048,HOSPITAL DE ALCAÑIZ,ARAGÓN,TERUEL,Alcañiz,"DR. REPOLLÉS, 2",44600,978830100.0,978830977.0,131.0,SEGURIDAD SOCIAL,SERVICIO ARAGONÉS DE SALUD-SALUD,GENERAL,,NO,SI,41.050254,-0.1329565
230173,HOSPITAL DE ALTA RESOLUCIÓN DE ALCAUDETE,ANDALUCÍA,JAÉN,Alcaudete,"CAMINO VIEJO DE LA FUENSANTA, 2",23660,953368211.0,953368287.0,16.0,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,NO,,
130052,HOSPITAL GENERAL LA MANCHA CENTRO,CASTILLA-LA MANCHA,CIUDAD REAL,Alcázar de San Juan,"AVENIDAD DE LA CONSTITUCIÓN, 3",13600,926580500.0,926547700.0,353.0,SEGURIDAD SOCIAL,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,GENERAL,,NO,SI,40.3614274,-2.8541895
281071,HOSPITAL UNIVERSITARIO FUNDACIÓN ALCORCÓN,MADRID,MADRID,Alcorcón,"BUDAPEST, 1",28922,916219400.0,916219902.0,400.0,SEGURIDAD SOCIAL,SERVICIO MADRILEÑO DE SALUD,GENERAL,,NO,SI,,
281124,HOSPITAL QUIRONSALUD SUR,MADRID,MADRID,Alcorcón,"ESTAMBUL, 30",28922,916496600.0,916496604.0,81.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,MÉDICO-QUIRÚRGICO,,SI,NO,40.34289695,-3.849272988446331
30089,SANATORIO SAN JORGE S.L.,COMUNIDAD VALENCIANA,ALICANTE,Alcoy/Alcoi,"CALLE OLIVER, 55",3802,965330400.0,965330400.0,26.0,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,GENERAL,,SI,NO,,
30067,HOSPITAL VIRGEN DE LOS LIRIOS,COMUNIDAD VALENCIANA,ALICANTE,Alcoy/Alcoi,"POLÍGONO CARAMAXEL, S/N",3804,965537400.0,965537448.0,305.0,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,GENERAL,,NO,SI,,
81192,CENTRE SOCIOSANITARI CAN TORRAS,CATALUÑA,BARCELONA,Alella,"CT EL MASNOU A ALELLA, 11",8328,935551994.0,935555559.0,119.0,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,GERIATRÍA Y/O LARGA ESTANCIA,,NO,NO,,
110259,HOSPITAL PUNTA DE EUROPA,ANDALUCÍA,CÁDIZ,Algeciras,"CARRETERA DE GETARES, S/N",11207,956025000.0,956025057.0,327.0,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,GENERAL,,NO,SI,37.2053883,-5.3195356
250210,SANT JOAN DE DÉU TERRES DE LLEIDA,CATALUÑA,LLEIDA,Almacelles,"CT N-240, .111",25100,973740010.0,973741193.0,29.0,OTRO PRIVADO BENÉFICO,PRIVADO-BENÉFICO (IGLESIA),PSIQUIÁTRICO,,NO,NO,,
20136,HOSPITAL GENERAL DE ALMANSA,CASTILLA-LA MANCHA,ALBACETE,Almansa,"AVDA. ADOLFO SUÁREZ, S/N",2640,967339526.0,967339546.0,93.0,COMUNIDAD AUTÓNOMA,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,GENERAL,,NO,NO,38.879489050000004,-1.093931250703585
60080,"HOSPITAL ""FUNDACIÓN SAN JUAN DE DIOS DE EXTREMADURA""",EXTREMADURA,BADAJOZ,Almendralejo,"PASEO DE LA PIEDAD, 5",6200,924670017.0,924662805.0,105.0,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),GERIATRÍA Y/O LARGA ESTANCIA,,SI,NO,,
60242,HOSPITAL TIERRA DE BARROS,EXTREMADURA,BADAJOZ,Almendralejo,"CRTA. NAL 630, KM 654,300",6200,924699200.0,924699214.0,0.0,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,GENERAL,,NO,NO,38.65578645,-6.376803332984851
